Geneid	a10	a15	a16	a17	a18	a19	a20	a9
ENSMUSG00000105381	0	0	0	0	0	0	0	0
ENSMUSG00000025789	22	4	2	2	4	12	24	22
ENSMUSG00000108375	0	0	0	0	0	0	0	0
ENSMUSG00000102384	0	0	0	0	0	0	0	0
ENSMUSG00000108725	22	0	0	0	0	0	10	20
ENSMUSG00002075038	0	0	0	0	0	0	0	0
ENSMUSG00000074358	865	754	745	727	734	697	919	698
ENSMUSG00000030830	254	1545	2563	2279	2395	286	380	272
ENSMUSG00000030411	115	44	56	34	28	130	114	130
ENSMUSG00000037563	12433	19972	16913	16206	18081	12315	15363	9796
ENSMUSG00000077711	6	13	6	23	15	9	7	15
ENSMUSG00000051965	0	0	2	0	0	0	2	1
ENSMUSG00000108428	0	0	0	0	0	0	0	0
ENSMUSG00000047371	1421	775	883	778	728	1374	1661	1297
ENSMUSG00000074355	75	12	19	8	26	38	32	19
ENSMUSG00000048481	166	40	44	60	51	218	212	174
ENSMUSG00000038520	1624	952	902	864	899	1580	1897	1237
ENSMUSG00000054381	687	364	611	390	418	597	763	586
ENSMUSG00000044030	2111	1717	2074	1672	1781	1919	2555	1979
ENSMUSG00000040891	2015	1372	1549	1230	1139	2025	1925	1394
ENSMUSG00000030823	305	157	183	161	120	235	326	249
ENSMUSG00000078580	374	160	162	230	178	406	419	302
ENSMUSG00000074184	0	0	0	0	0	0	0	0
ENSMUSG00000025790	850	1084	1405	1260	1382	963	1079	948
ENSMUSG00000045757	426	245	266	210	242	374	468	316
ENSMUSG00000031027	10	6	0	2	0	2	8	4
ENSMUSG00000085161	0	0	0	0	0	0	0	0
ENSMUSG00000108663	0	0	0	0	0	0	0	0
ENSMUSG00000108570	0	0	0	0	0	0	0	0
ENSMUSG00000081370	0	0	0	0	0	4	2	0
ENSMUSG00000108468	0	0	0	0	0	0	0	0
ENSMUSG00000108652	0	0	0	0	0	0	0	0
ENSMUSG00000108642	0	0	0	0	0	0	0	0
ENSMUSG00000108716	0	0	0	0	0	0	0	0
ENSMUSG00002076151	0	0	0	0	0	0	0	0
ENSMUSG00000045251	379	252	238	229	281	431	459	382
ENSMUSG00000108483	0	0	0	0	0	0	0	0
ENSMUSG00000108803	0	0	0	0	0	0	0	0
ENSMUSG00000011096	1916	2411	2224	2249	2283	2070	2525	1474
ENSMUSG00000076051	0	0	0	0	0	0	0	0
ENSMUSG00000048921	144	98	105	114	142	173	206	107
ENSMUSG00000108465	40	2	17	18	6	30	35	24
ENSMUSG00000023118	5146	4733	5348	4577	4884	4835	6783	4510
ENSMUSG00000030822	2560	1737	1945	1714	1794	2060	2520	2321
ENSMUSG00000040866	0	0	0	0	0	0	0	0
ENSMUSG00000053025	149	50	62	67	51	146	121	104
ENSMUSG00000030410	521	273	273	333	337	501	582	431
ENSMUSG00002076991	0	0	0	0	0	0	0	0
ENSMUSG00000031026	8	0	6	6	2	8	6	4
ENSMUSG00000097247	0	0	0	0	2	0	0	0
ENSMUSG00000069196	0	0	0	0	0	0	0	0
ENSMUSG00000108590	0	0	0	0	0	0	0	0
ENSMUSG00000046364	19504	28099	25960	24517	31526	19695	23780	15233
ENSMUSG00000065016	0	0	0	0	0	0	0	0
ENSMUSG00002074947	0	1	0	0	0	0	0	0
ENSMUSG00000077575	1	0	2	1	8	1	0	5
ENSMUSG00000042423	3264	1775	2787	2189	2224	2837	2874	2884
ENSMUSG00000098267	0	0	0	0	0	0	0	0
ENSMUSG00002075536	0	0	0	0	0	0	0	0
ENSMUSG00000101225	81	58	57	62	49	67	105	45
ENSMUSG00000108287	0	0	0	0	0	0	0	0
ENSMUSG00000091292	0	0	0	0	0	0	0	0
ENSMUSG00000107972	0	0	0	0	0	0	0	0
ENSMUSG00000108259	0	0	0	0	0	0	0	0
ENSMUSG00000055452	30	22	28	24	65	19	24	39
ENSMUSG00000107523	0	0	0	0	0	0	0	2
ENSMUSG00000037552	1631	950	1258	920	914	1113	1488	1844
ENSMUSG00000108044	0	0	0	0	0	0	0	0
ENSMUSG00000107956	0	0	0	0	0	0	1	6
ENSMUSG00000118413	0	0	0	0	0	0	0	0
ENSMUSG00000044786	3549	5415	5146	4486	6480	3049	3733	3449
ENSMUSG00000109455	33	12	16	9	4	24	39	47
ENSMUSG00000003444	312	405	385	412	380	288	408	345
ENSMUSG00000054753	0	0	0	0	0	0	0	0
ENSMUSG00000107470	12	26	10	20	22	26	12	10
ENSMUSG00000077815	0	0	0	0	0	0	0	0
ENSMUSG00000106340	0	0	0	0	0	0	0	0
ENSMUSG00000078817	0	16	30	41	48	0	0	4
ENSMUSG00000078008	0	0	0	0	0	0	0	0
ENSMUSG00000078041	0	0	0	0	0	0	0	0
ENSMUSG00000104747	0	0	0	0	0	0	0	0
ENSMUSG00000078032	0	0	0	0	0	0	0	0
ENSMUSG00000078035	0	0	0	0	0	0	0	0
ENSMUSG00000077903	0	0	0	0	0	0	0	0
ENSMUSG00000077886	0	0	0	0	0	0	0	0
ENSMUSG00000107413	0	0	0	0	2	0	0	0
ENSMUSG00000108105	16	20	29	24	22	33	40	44
ENSMUSG00000003437	1851	1564	1799	1797	1798	1813	2164	1685
ENSMUSG00000068566	7881	5462	5861	5721	6241	9665	11950	7093
ENSMUSG00000066406	7567	5111	9046	6523	7358	7713	9536	7543
ENSMUSG00000109336	3594	3221	4506	3526	3832	3526	4300	3200
ENSMUSG00000108542	2	0	2	0	0	0	0	0
ENSMUSG00000108560	1	0	0	1	0	2	6	0
ENSMUSG00000108557	0	2	0	0	2	0	2	3
ENSMUSG00002075782	1	0	0	1	0	0	0	0
ENSMUSG00000108633	0	0	0	0	2	0	2	0
ENSMUSG00002076060	0	0	0	0	0	0	0	4
ENSMUSG00000097116	0	0	0	0	0	0	0	0
ENSMUSG00000031024	3379	1716	2253	1778	1584	3864	4325	2994
ENSMUSG00000030409	14026	3091	3524	3081	2569	10300	11427	12411
ENSMUSG00000109499	0	0	0	0	0	0	1	0
ENSMUSG00000055652	632	667	715	578	580	596	646	603
ENSMUSG00000108495	0	0	0	0	0	0	0	0
ENSMUSG00000108467	0	0	0	0	0	0	0	0
ENSMUSG00000092659	4	0	0	0	2	2	1	6
ENSMUSG00000060791	526	1385	1265	1375	1669	567	706	494
ENSMUSG00000040841	1115	225	303	270	256	1004	999	922
ENSMUSG00000078816	101	22	40	28	29	50	73	67
ENSMUSG00000031023	494	502	511	451	457	411	579	344
ENSMUSG00000085601	4	2	0	4	0	0	6	2
ENSMUSG00000069806	559	254	328	279	248	759	706	493
ENSMUSG00000030600	113	44	64	70	30	104	126	116
ENSMUSG00000050428	727	574	683	498	572	700	735	613
ENSMUSG00000107620	3	0	0	0	0	4	0	11
ENSMUSG00000107815	0	0	0	0	0	0	0	0
ENSMUSG00000109201	1	0	4	0	7	2	0	0
ENSMUSG00000099417	0	0	0	0	0	0	0	0
ENSMUSG00000031022	26	0	2	9	4	23	16	15
ENSMUSG00000035951	7	6	10	2	3	5	10	6
ENSMUSG00000059128	0	2	0	0	0	0	0	0
ENSMUSG00000118574	0	0	0	0	0	0	0	0
ENSMUSG00000053395	0	2	7	11	6	0	0	8
ENSMUSG00000107862	0	0	0	0	0	0	0	0
ENSMUSG00000094210	0	0	0	0	0	0	0	0
ENSMUSG00000030407	662	783	863	785	899	667	917	572
ENSMUSG00000107585	0	0	4	4	9	0	0	0
ENSMUSG00000060747	2	2	0	0	4	0	0	0
ENSMUSG00000108925	0	0	0	0	0	0	0	0
ENSMUSG00000084174	16056	396	212	251	1042	11530	13700	10509
ENSMUSG00000040824	1710	3717	3281	3273	3948	2080	1821	1687
ENSMUSG00000002963	1261	1345	1263	1283	1274	1189	1306	1120
ENSMUSG00000078815	2	12	6	8	20	0	0	0
ENSMUSG00000107985	0	2	6	2	3	0	0	0
ENSMUSG00000031021	3261	4501	4375	4302	4670	3321	4252	2875
ENSMUSG00000047586	195	98	72	166	172	193	327	123
ENSMUSG00000053877	188	47	129	114	84	167	194	160
ENSMUSG00000053338	2	202	209	272	217	2	0	2
ENSMUSG00000034825	40	21	50	37	52	60	46	50
ENSMUSG00000107480	0	2	10	17	15	0	0	0
ENSMUSG00000119024	0	0	0	0	0	0	0	0
ENSMUSG00000030602	3719	3887	4609	3881	4398	3845	4417	3266
ENSMUSG00000118635	0	0	0	0	0	0	1	0
ENSMUSG00000025754	0	0	0	0	0	0	4	0
ENSMUSG00000098558	1	0	2	0	0	0	2	0
ENSMUSG00000108758	0	0	0	0	0	0	0	0
ENSMUSG00000030406	43	21	17	16	12	18	30	30
ENSMUSG00002075769	0	0	0	0	0	0	0	0
ENSMUSG00000108644	0	0	0	0	0	0	0	0
ENSMUSG00000098009	0	0	6	6	0	0	0	2
ENSMUSG00000107023	38	25	16	31	29	37	38	32
ENSMUSG00000108514	0	0	0	0	0	0	0	0
ENSMUSG00000108771	0	0	0	0	0	0	0	0
ENSMUSG00000065259	5	4	2	2	0	0	3	0
ENSMUSG00000101845	9	2	3	10	7	11	2	7
ENSMUSG00000108611	0	0	0	0	0	0	0	0
ENSMUSG00000108324	0	0	0	0	0	0	0	0
ENSMUSG00000064940	0	0	0	0	0	0	0	0
ENSMUSG00000106715	0	0	0	0	0	0	0	0
ENSMUSG00002076215	0	0	0	0	0	0	0	0
ENSMUSG00000039361	10655	9707	12338	10436	11155	9818	11987	11085
ENSMUSG00000054594	6	4	4	0	2	5	3	2
ENSMUSG00000109429	11	0	2	4	8	10	4	2
ENSMUSG00000109498	19	4	5	6	12	7	9	13
ENSMUSG00000109005	119	35	32	39	43	142	75	107
ENSMUSG00000109279	26	18	20	6	27	30	26	28
ENSMUSG00000038502	3476	1631	1645	1609	1383	2665	3717	2822
ENSMUSG00000035674	1762	2258	2268	1882	2170	1831	1815	1748
ENSMUSG00000030815	835	301	457	415	468	542	665	617
ENSMUSG00000037469	0	0	2	0	0	0	0	0
ENSMUSG00000007279	293	12	59	24	34	206	221	342
ENSMUSG00000108905	0	0	0	0	0	0	0	0
ENSMUSG00000108865	0	0	0	0	0	0	0	0
ENSMUSG00000057176	68	50	30	30	32	83	99	86
ENSMUSG00000030617	0	0	0	4	0	0	0	0
ENSMUSG00000006335	409	549	490	421	494	419	402	313
ENSMUSG00002076555	0	0	0	0	0	0	0	0
ENSMUSG00000037463	46	24	13	25	4	36	76	46
ENSMUSG00000030598	87	64	38	65	41	102	153	84
ENSMUSG00000035901	1982	1398	1539	1620	1354	1963	2380	1873
ENSMUSG00000030816	2557	2590	3058	2739	2782	2544	3165	2422
ENSMUSG00000059146	152	17	32	38	26	180	178	135
ENSMUSG00000108677	0	0	0	0	0	0	0	0
ENSMUSG00000099579	0	0	0	0	0	0	0	0
ENSMUSG00000108630	0	0	0	0	0	0	0	0
ENSMUSG00000108788	0	0	0	0	0	0	0	0
ENSMUSG00000108390	0	0	0	0	0	0	0	0
ENSMUSG00000040811	1286	1492	1478	1362	1574	1220	1518	1428
ENSMUSG00000065543	0	0	0	0	0	0	0	0
ENSMUSG00000044317	84	91	68	96	60	120	150	124
ENSMUSG00000030612	1056	1977	1533	1688	1904	1036	1230	1040
ENSMUSG00000108536	2	1	8	5	15	3	10	19
ENSMUSG00000052214	3007	3716	3806	3330	3531	3562	3833	2881
ENSMUSG00000064580	2	0	0	0	2	2	1	0
ENSMUSG00000045639	1146	355	695	460	300	869	1041	756
ENSMUSG00000108766	0	0	0	0	0	6	2	2
ENSMUSG00000030611	458	692	636	641	819	458	572	486
ENSMUSG00000108603	0	0	0	2	0	1	0	0
ENSMUSG00000030403	13563	19909	18981	17722	20781	11924	13704	13159
ENSMUSG00000089636	123	34	78	41	65	66	60	143
ENSMUSG00000030814	617	651	570	493	640	544	735	481
ENSMUSG00000076454	0	0	0	0	0	0	0	0
ENSMUSG00000030610	573	536	577	613	526	596	798	528
ENSMUSG00000108791	0	0	0	0	0	1	0	0
ENSMUSG00000030402	9	6	2	0	14	2	4	4
ENSMUSG00000108385	0	0	0	0	0	0	0	0
ENSMUSG00000065609	0	0	0	0	0	0	0	0
ENSMUSG00000042340	161	26	32	36	40	160	207	130
ENSMUSG00000008373	942	1814	2038	1816	2114	1105	1364	969
ENSMUSG00000060034	1	0	0	0	1	3	19	6
ENSMUSG00000047554	1616	2603	2433	2279	2534	1386	1889	1529
ENSMUSG00000085039	38	7	5	9	7	22	35	13
ENSMUSG00002075706	0	0	0	0	0	0	0	0
ENSMUSG00000065389	0	0	0	0	0	0	0	0
ENSMUSG00000030401	344	120	94	108	116	267	434	287
ENSMUSG00000097266	0	0	0	0	0	0	0	0
ENSMUSG00000030609	845	1007	1186	1081	1139	841	1014	871
ENSMUSG00000002968	4337	3618	4014	3611	2895	3897	5204	3194
ENSMUSG00000066232	5685	5152	6691	5564	6557	6599	7972	5393
ENSMUSG00000109198	3	1	7	12	5	11	19	1
ENSMUSG00000064600	0	0	0	0	0	0	0	0
ENSMUSG00000064451	7	1	7	4	7	5	1	7
ENSMUSG00000003545	409	70	46	82	62	160	472	288
ENSMUSG00000073867	20	14	25	18	19	44	50	36
ENSMUSG00000108854	0	0	0	0	0	2	0	0
ENSMUSG00000035632	2120	1569	2259	1852	1745	2146	2356	1849
ENSMUSG00000093290	0	0	0	0	0	0	0	0
ENSMUSG00000078813	778	502	610	521	672	549	684	635
ENSMUSG00000039236	867	767	1109	1144	2320	1013	981	587
ENSMUSG00000108670	0	0	0	0	0	0	0	2
ENSMUSG00000097441	2	0	0	0	0	0	0	0
ENSMUSG00000030811	2107	1925	2330	1617	1871	1785	2092	2058
ENSMUSG00000043964	1103	686	780	614	620	1009	1162	841
ENSMUSG00000030607	0	0	0	0	0	0	0	0
ENSMUSG00000003549	396	390	374	380	399	376	429	321
ENSMUSG00000047649	362	440	469	483	495	373	409	316
ENSMUSG00000030606	2	4	2	6	2	8	0	0
ENSMUSG00000040734	648	402	472	366	339	488	650	532
ENSMUSG00000019734	10170	4789	6749	5315	5121	8235	10025	8114
ENSMUSG00000086032	16	4	2	1	9	16	4	6
ENSMUSG00000061079	745	708	741	625	726	579	905	629
ENSMUSG00000109904	84	19	20	21	15	75	89	42
ENSMUSG00000042308	802	429	704	596	542	721	919	795
ENSMUSG00000031016	827	425	589	563	484	784	1358	1050
ENSMUSG00000108815	0	0	0	0	0	0	0	0
ENSMUSG00000108402	3	1	1	0	11	2	0	3
ENSMUSG00000031015	1350	889	1052	1076	1009	1195	1569	2053
ENSMUSG00000109799	46	1	6	13	10	25	12	35
ENSMUSG00000110102	4	4	2	2	0	8	6	5
ENSMUSG00000035596	2239	2262	2410	2093	2260	2015	2526	1953
ENSMUSG00000011658	511	233	199	228	232	378	507	438
ENSMUSG00000030605	2526	2363	2496	2534	2576	2877	3754	3598
ENSMUSG00000108387	0	0	0	0	0	2	0	0
ENSMUSG00000042289	0	0	0	0	0	0	0	0
ENSMUSG00000039202	15392	7702	10761	8743	7965	14455	17246	17261
ENSMUSG00000108521	13	2	4	8	10	2	0	4
ENSMUSG00000108460	8	2	2	0	4	0	6	6
ENSMUSG00002076442	1	2	1	0	3	0	0	0
ENSMUSG00000030806	205	60	73	84	90	159	149	154
ENSMUSG00000108808	0	0	0	0	0	0	0	0
ENSMUSG00000035585	2242	3117	2659	2610	2656	2131	2605	2032
ENSMUSG00000030805	2538	1903	1943	1891	2186	2284	2341	2394
ENSMUSG00000006333	21669	31920	28858	28146	34926	22104	25573	17312
ENSMUSG00000049728	296	395	477	382	387	348	427	317
ENSMUSG00000049739	2073	1030	1794	1243	1276	2036	2451	1845
ENSMUSG00000030400	602	381	413	367	401	455	521	476
ENSMUSG00000044139	7	0	2	0	0	5	10	2
ENSMUSG00000097231	51	0	17	20	12	21	23	33
ENSMUSG00000076315	1	1	1	1	3	1	0	7
ENSMUSG00000030804	0	0	0	0	0	0	0	0
ENSMUSG00000038371	3549	1798	3222	2432	2191	3766	4789	3422
ENSMUSG00000096145	43	17	13	20	10	39	27	21
ENSMUSG00000108479	0	0	2	0	0	4	0	0
ENSMUSG00000091117	0	0	0	0	0	4	2	0
ENSMUSG00000090855	0	0	0	0	0	0	0	0
ENSMUSG00000060777	0	0	0	0	0	4	0	0
ENSMUSG00000099803	1	1	2	2	3	2	9	0
ENSMUSG00000058818	163	1615	1841	1883	2050	192	167	266
ENSMUSG00000039194	2	4	2	2	0	10	10	4
ENSMUSG00000030790	327	1567	698	902	1199	278	316	396
ENSMUSG00000109700	0	0	0	0	0	0	0	0
ENSMUSG00000109749	0	0	0	0	0	0	0	0
ENSMUSG00000110062	29	21	31	29	17	26	71	31
ENSMUSG00000081665	10	51	38	58	53	2	0	4
ENSMUSG00000030616	4266	1592	2208	1731	1676	4672	5673	2628
ENSMUSG00000074418	0	0	0	0	0	0	0	0
ENSMUSG00000080917	0	0	0	2	3	0	0	0
ENSMUSG00000044362	28	14	18	24	12	52	60	34
ENSMUSG00000051451	2700	1586	1886	1625	1908	2181	2868	2108
ENSMUSG00000040714	95	27	34	44	21	64	69	44
ENSMUSG00000030615	854	1104	1102	1010	1272	867	1091	680
ENSMUSG00000109216	12	0	0	2	2	0	2	7
ENSMUSG00000030614	1038	1004	894	818	841	1045	1131	876
ENSMUSG00000060279	2888	2724	3351	3061	2701	2847	3764	2578
ENSMUSG00000030399	346	60	99	53	19	285	292	345
ENSMUSG00000030802	2400	2567	2359	2425	2541	2414	3146	2021
ENSMUSG00000054083	12	0	5	12	8	4	15	4
ENSMUSG00000005686	2090	1704	2546	2084	1781	2555	2851	1748
ENSMUSG00000030801	568	480	501	504	512	655	805	644
ENSMUSG00000030800	2357	1451	1433	1322	1468	1979	2766	1750
ENSMUSG00000059891	5	4	2	2	0	3	0	2
ENSMUSG00000030397	1727	1286	1676	1117	1386	1318	1699	1505
ENSMUSG00000065388	0	0	0	0	0	0	0	0
ENSMUSG00000011263	288	170	116	184	127	342	443	268
ENSMUSG00000109301	0	0	0	0	0	0	0	0
ENSMUSG00000057667	700	852	855	818	733	882	957	727
ENSMUSG00000030788	3869	3193	3967	3484	3948	3472	4315	2841
ENSMUSG00002076727	0	0	0	0	0	0	0	2
ENSMUSG00000030787	1433	541	712	660	786	1494	1981	1273
ENSMUSG00000070371	136	40	41	50	34	130	131	115
ENSMUSG00000039187	162	205	348	285	286	260	261	161
ENSMUSG00000082400	0	0	0	0	0	0	0	0
ENSMUSG00000002043	1648	1342	1280	1235	1128	1894	1812	1570
ENSMUSG00000060621	47	16	21	17	10	36	49	18
ENSMUSG00000051403	6985	3903	4283	3484	3339	6237	7712	5431
ENSMUSG00000007783	191	69	91	83	90	146	237	187
ENSMUSG00000054808	27319	37892	54502	42863	44210	28672	39698	25741
ENSMUSG00000044709	1259	1548	1290	1329	1656	1403	1583	1082
ENSMUSG00000109111	0	0	0	0	0	0	0	0
ENSMUSG00000109314	10	4	10	4	8	3	2	2
ENSMUSG00000011267	47	63	29	51	117	43	58	49
ENSMUSG00000005611	3424	639	921	772	646	2772	3306	3340
ENSMUSG00000087160	0	0	1	0	0	0	0	0
ENSMUSG00000053565	3552	4669	3984	4038	4685	3932	4677	3096
ENSMUSG00000030795	8234	7890	10183	9915	9733	8028	9075	7707
ENSMUSG00000074419	2	20	38	26	25	4	8	2
ENSMUSG00000030793	2920	3426	3951	3264	3432	3169	3113	2600
ENSMUSG00000108353	17	0	14	4	7	7	22	12
ENSMUSG00000087530	17	5	11	12	4	17	12	9
ENSMUSG00000089942	18	51	68	84	62	8	16	18
ENSMUSG00000005609	2659	2095	2804	2261	2362	2914	3995	2185
ENSMUSG00000042828	184	167	288	242	196	320	287	151
ENSMUSG00000074417	18	44	36	54	69	4	12	4
ENSMUSG00000108437	23	7	17	8	11	13	13	12
ENSMUSG00000108696	19	4	4	3	10	7	10	13
ENSMUSG00000108381	6	0	2	0	2	2	11	5
ENSMUSG00000064677	0	0	0	0	0	0	0	0
ENSMUSG00000030427	14	36	40	45	39	14	18	10
ENSMUSG00000108593	0	0	0	0	0	0	0	0
ENSMUSG00000108765	0	0	0	0	0	0	0	0
ENSMUSG00000108712	0	0	0	0	0	0	0	0
ENSMUSG00000108505	0	0	0	0	0	0	0	0
ENSMUSG00000083344	16	10	14	12	12	16	18	12
ENSMUSG00000082093	0	2	0	0	0	0	0	0
ENSMUSG00000039176	2470	1963	2378	2139	2075	2348	2703	2260
ENSMUSG00000108599	4	0	2	0	0	0	0	0
ENSMUSG00000093238	0	0	0	0	0	0	0	0
ENSMUSG00000102995	0	0	0	0	0	0	0	0
ENSMUSG00000103663	0	0	0	0	0	0	0	0
ENSMUSG00000103831	0	0	0	0	0	0	0	0
ENSMUSG00000108373	0	0	0	0	0	0	0	0
ENSMUSG00000108776	0	0	0	0	0	0	0	0
ENSMUSG00000037337	105	352	410	460	584	125	182	221
ENSMUSG00000052572	422	32	61	62	38	290	350	290
ENSMUSG00000030549	0	0	0	0	0	0	0	0
ENSMUSG00000108318	0	0	0	0	0	0	0	0
ENSMUSG00000109074	0	0	0	0	0	0	0	0
ENSMUSG00000109242	1	0	0	0	0	0	0	0
ENSMUSG00000109431	0	0	0	0	0	0	0	0
ENSMUSG00000109125	2	0	0	0	0	0	0	0
ENSMUSG00000109562	0	0	0	0	0	0	0	0
ENSMUSG00000108956	0	0	0	0	0	0	2	0
ENSMUSG00002075258	0	0	0	0	0	0	0	0
ENSMUSG00002075035	0	0	0	0	0	0	0	0
ENSMUSG00000109239	0	0	0	0	0	4	0	0
ENSMUSG00000108819	0	0	0	0	0	0	0	0
ENSMUSG00000109387	0	0	0	0	0	0	0	0
ENSMUSG00000089271	0	0	0	0	0	0	0	0
ENSMUSG00000109353	0	0	0	0	0	0	0	0
ENSMUSG00000108920	0	0	0	0	4	0	0	0
ENSMUSG00002074863	0	0	0	0	0	0	0	0
ENSMUSG00000109320	0	0	0	0	0	0	0	0
ENSMUSG00000109370	2	0	0	0	0	0	0	0
ENSMUSG00000109217	0	0	0	0	0	0	0	0
ENSMUSG00000109505	0	0	0	0	0	0	0	0
ENSMUSG00000109044	0	0	0	0	0	0	0	0
ENSMUSG00000109256	0	0	0	0	0	0	0	0
ENSMUSG00000064403	0	0	0	0	0	0	0	0
ENSMUSG00000109037	0	0	0	0	0	0	0	0
ENSMUSG00000109481	0	0	0	0	0	0	0	0
ENSMUSG00000108953	2	0	0	0	0	0	0	0
ENSMUSG00000109191	0	0	0	0	0	0	0	0
ENSMUSG00000061028	2279	854	1230	1016	1113	1682	1894	1980
ENSMUSG00000108826	0	0	0	0	0	0	1	0
ENSMUSG00000109382	0	0	0	0	0	1	0	0
ENSMUSG00000109574	0	0	0	0	0	0	0	0
ENSMUSG00000109031	0	0	0	0	0	0	0	0
ENSMUSG00000005610	33248	32268	37804	34138	36699	31892	37534	31385
ENSMUSG00000088948	0	0	0	0	0	0	0	0
ENSMUSG00000110326	0	0	0	0	2	2	7	0
ENSMUSG00000109324	1793	3675	3771	3785	4428	1968	2337	1706
ENSMUSG00000118555	5	2	0	0	0	8	4	3
ENSMUSG00000109808	0	0	0	0	0	0	0	0
ENSMUSG00000109867	0	0	0	0	0	0	0	0
ENSMUSG00000055541	200	646	705	648	779	208	196	214
ENSMUSG00000086155	14	111	18	28	38	26	9	9
ENSMUSG00000075719	0	0	0	0	0	0	0	0
ENSMUSG00000003190	339	225	270	212	274	219	326	218
ENSMUSG00000038296	404	190	186	208	142	377	420	418
ENSMUSG00000030613	640	550	555	592	597	679	821	552
ENSMUSG00002074927	0	0	0	0	0	0	0	0
ENSMUSG00000110065	2	0	0	0	0	0	0	2
ENSMUSG00000065751	0	0	0	0	0	0	0	0
ENSMUSG00000046591	309	435	596	536	456	379	557	316
ENSMUSG00000002983	2476	1703	1924	1969	1984	2400	2344	2055
ENSMUSG00000003184	2425	1981	1929	1809	2003	1907	2593	2200
ENSMUSG00000002981	7324	6657	7384	6563	6346	7754	10239	6237
ENSMUSG00000002992	0	0	1	0	0	0	0	0
ENSMUSG00000109350	0	0	0	0	0	0	0	0
ENSMUSG00000074336	0	0	0	0	0	0	0	1
ENSMUSG00000038406	5532	3242	4525	3743	3776	4801	5991	5148
ENSMUSG00000098839	2	0	0	0	1	0	0	0
ENSMUSG00000041343	104	70	71	69	43	96	83	67
ENSMUSG00000098066	26	7	18	16	16	41	43	46
ENSMUSG00000040564	18	48	16	10	14	10	40	20
ENSMUSG00000102555	69	20	29	38	19	85	114	66
ENSMUSG00000038387	2185	1482	1283	1267	1371	2123	2297	1898
ENSMUSG00000050382	50	46	53	46	26	67	56	104
ENSMUSG00000039133	3	0	0	0	0	0	1	0
ENSMUSG00000046574	1534	614	1093	675	693	1281	1777	1412
ENSMUSG00000041328	2991	1277	2360	1754	1958	2344	2967	2655
ENSMUSG00000109395	0	0	0	0	0	0	0	0
ENSMUSG00000098041	26	8	9	15	6	15	15	8
ENSMUSG00000002985	12915	22674	21636	18177	15879	12027	15626	13459
ENSMUSG00000059263	6091	4548	6659	5335	5389	6114	7155	5833
ENSMUSG00000030786	113	478	417	537	440	197	162	156
ENSMUSG00000030643	196	110	140	117	133	188	218	223
ENSMUSG00000030772	2632	1068	1141	1189	1089	2674	3066	2536
ENSMUSG00000109257	0	0	0	0	0	0	0	0
ENSMUSG00000108596	0	0	2	0	4	1	0	0
ENSMUSG00000108578	0	0	0	0	0	0	0	0
ENSMUSG00000007837	1790	1585	1455	1247	1213	1359	1728	1510
ENSMUSG00000030592	25	22	36	37	43	23	37	48
ENSMUSG00000030546	182	186	34	6	34	153	90	74
ENSMUSG00000109017	0	1	5	1	2	0	0	0
ENSMUSG00002075339	0	0	0	0	0	0	0	0
ENSMUSG00000097079	0	0	0	0	0	0	0	0
ENSMUSG00000089219	0	0	0	0	0	0	0	0
ENSMUSG00000030545	1099	783	1053	785	697	1056	1088	1081
ENSMUSG00000108425	83	13	19	22	22	28	43	57
ENSMUSG00000030641	141	260	300	328	322	142	234	164
ENSMUSG00000002984	1894	4553	3969	4179	4874	2114	2756	2104
ENSMUSG00000092381	4	1	0	0	1	0	9	0
ENSMUSG00000039099	18	0	7	0	2	17	20	8
ENSMUSG00000108506	4	2	4	8	0	0	2	0
ENSMUSG00000030544	0	0	0	0	0	0	0	0
ENSMUSG00000030543	10	2	4	2	2	24	46	4
ENSMUSG00000061119	2134	1273	1468	1316	1297	2446	2717	2136
ENSMUSG00000109268	4	0	0	0	0	2	0	0
ENSMUSG00000062300	5339	5662	5542	4744	5282	4775	5708	5164
ENSMUSG00000030789	244	857	1321	1313	1736	258	371	315
ENSMUSG00000030428	676	873	677	914	897	884	1142	380
ENSMUSG00000108729	0	0	0	0	0	1	0	0
ENSMUSG00000109175	0	0	0	0	0	0	0	0
ENSMUSG00000085886	2	7	0	3	1	4	7	8
ENSMUSG00000109315	0	0	0	0	0	0	0	0
ENSMUSG00000109195	0	0	0	0	0	0	0	0
ENSMUSG00000109077	0	0	0	0	0	0	0	0
ENSMUSG00000109226	0	0	0	0	0	0	0	0
ENSMUSG00000109440	0	0	0	0	0	0	0	0
ENSMUSG00000118493	0	0	0	0	0	0	0	0
ENSMUSG00000108532	0	0	0	0	0	0	0	0
ENSMUSG00000096033	0	0	0	0	0	0	0	0
ENSMUSG00000108315	0	0	0	0	0	0	0	0
ENSMUSG00000108516	0	0	0	0	0	0	0	0
ENSMUSG00000108433	0	0	0	0	0	0	0	0
ENSMUSG00002075722	0	0	0	0	0	0	0	0
ENSMUSG00000119638	0	0	0	0	0	0	0	0
ENSMUSG00000108786	0	0	0	0	0	0	0	0
ENSMUSG00000108429	0	0	0	0	0	0	0	0
ENSMUSG00000108628	0	0	0	0	0	0	0	0
ENSMUSG00000003421	1713	1648	1833	1593	1545	1762	1989	1407
ENSMUSG00000002980	1220	670	596	579	530	1270	1509	1084
ENSMUSG00000109136	12	0	0	0	0	0	2	0
